ID,Title,Price,Address,Num_of_Bedrooms,Num_of_Bathrooms,Floor_Area,Description,List_of_Amenities,Image URLs,Property URL
525,"Metrotowne Building 3 Unit-3-3Q- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/028e93e87aeb0f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b2e4f0c7e5f5ee.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-3q-studio-for-sale-in-171834656752/
526,"Metrotowne Building 3 Unit-3-2O- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/e95c585ca053d5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-2o-studio-for-sale-in-171834656734/
527,"Metrotowne Building 3 Unit-3-2R- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/028e93e87aeb0f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b2e4f0c7e5f5ee.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-2r-studio-for-sale-in-171834656188/
528,"Metrotowne Building 3 Unit-3-3O- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/028e93e87aeb0f.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-3o-studio-for-sale-in-171834656083/
529,"Metrotowne Building 3 Unit-3-1Q- Studio For Sale in Talon Singko,Las Piñas City",3450000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/7949c84ad5fb40.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1070d156dac27f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/e95c585ca053d5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-1q-studio-for-sale-in-17183465538/
530,"Metrotowne Building 3 Unit-3-2F- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/75e1cbc636ea83.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/028e93e87aeb0f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b2e4f0c7e5f5ee.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6688299761ca76.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/abb36db249cffe.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-2f-studio-for-sale-in-171834654581/
531,"Metrotowne Building 3 Unit-3-2E- Studio For Sale in Talon Singko,Las Piñas City",3350000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/028e93e87aeb0f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b2e4f0c7e5f5ee.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6688299761ca76.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-2e-studio-for-sale-in-171834654233/
532,"Metrotowne Building 3 Unit-3-1F- Studio For Sale in Talon Singko,Las Piñas City",3450000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",1,1,23,"Studio Unit (Tower 3)  2024 BUYERS PROMO:  Reservation Fee: - Studio Units (T1 to 3) - Php 10K  Promo Discount:  Tower 3 (Platinum)  - Studio - P50K Discount  Appliance Bundle:  Tower 1 to 3  - Studio - Appliance Bundle (Microwave, Griller and Coffee Maker)  Lowest Monthly Amortization:  B3 Studio  DP - P8,276.11 - 36mos DP Balance - HDMF amor 20,232.20 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/028e93e87aeb0f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/b2e4f0c7e5f5ee.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/6688299761ca76.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/abb36db249cffe.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/5111c9ccf746a0.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-1f-studio-for-sale-in-171834654228/
533,"Metrotowne Building 3 Unit-3-8L- 2 Bedroom For Sale in Talon Singko,Las Piñas City",6420000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",2,1,47,"2-Bedroom Unit (Building 3)  2024 BUYERS PROMO:  Reservation Fee: - 2 BR Units (T1 to 3) - Php 15K  Promo Discount:  Tower 2 (Aluminium)  - 2 BR - Php 500K Discount  Appliance Bundle:  Tower 1 to 3  - 2 BR - Window Type ACU non inverter  Lowest Monthly Amortization:  B2 2BR  DP - 20,757.15 - 28mos DP Balance - HDMF amort 40,063.77 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/cadb7d9b1d0713.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/4266be81b1a831.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/7949c84ad5fb40.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1070d156dac27f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/e95c585ca053d5.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-8l-2-bedroom-for-sale-172059373995/
534,"Metrotowne Building 3 Unit-3-11M- 2 Bedroom For Sale in Talon Singko,Las Piñas City",6450000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",2,1,47,"2-Bedroom Unit (Building 3)  2024 BUYERS PROMO:  Reservation Fee: - 2 BR Units (T1 to 3) - Php 15K  Promo Discount:  Tower 2 (Aluminium)  - 2 BR - Php 500K Discount  Appliance Bundle:  Tower 1 to 3  - 2 BR - Window Type ACU non inverter  Lowest Monthly Amortization:  B2 2BR  DP - 20,757.15 - 28mos DP Balance - HDMF amort 40,063.77 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/7949c84ad5fb40.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/1070d156dac27f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/e95c585ca053d5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-11m-2-bedroom-for-sal-172059371789/
535,"Metrotowne Building 3 Unit-3-7A- 2 Bedroom For Sale in Talon Singko,Las Piñas City",6410000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",2,1,47,"2-Bedroom Unit (Building 3)  2024 BUYERS PROMO:  Reservation Fee: - 2 BR Units (T1 to 3) - Php 15K  Promo Discount:  Tower 2 (Aluminium)  - 2 BR - Php 500K Discount  Appliance Bundle:  Tower 1 to 3  - 2 BR - Window Type ACU non inverter  Lowest Monthly Amortization:  B2 2BR  DP - 20,757.15 - 28mos DP Balance - HDMF amort 40,063.77 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/e95c585ca053d5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/75e1cbc636ea83.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-7a-2-bedroom-for-sale-172059370462/
536,"Metrotowne Building 3 Unit-3-9L- 2 Bedroom For Sale in Talon Singko,Las Piñas City",6430000,"Marcos Alvarez Ave. 
                                        Talon Singko, Las Piñas",2,1,47,"2-Bedroom Unit (Building 3)  2024 BUYERS PROMO:  Reservation Fee: - 2 BR Units (T1 to 3) - Php 15K  Promo Discount:  Tower 2 (Aluminium)  - 2 BR - Php 500K Discount  Appliance Bundle:  Tower 1 to 3  - 2 BR - Window Type ACU non inverter  Lowest Monthly Amortization:  B2 2BR  DP - 20,757.15 - 28mos DP Balance - HDMF amort 40,063.77 payable in 30yrs  A community designed for the driven. METROTOWNE is a community that has it all. Strategically located in the heart of Las Piñas, the brilliance of this mid-rise masterwork lies in how it’s built to sit right at the center of everything ––less than an hour away from key cities and business districts, and virtually a stone’s throw away from commercial centers and lifestyle hotspots. Perfect when you want to be far enough from the noise but close enough to the nice. METROTOWNE is a modern, stylish haven that’s designed to conform to the highest standards. Here, even the usual amenities are made unusually excellent: parks, jogging paths, swimming pools, a fitness center, co-working space, function rooms and many more. Live with all the comforts that reward your driven lifestyle. METROTOWNE is all that and more. It’s the home you deserve.  Address: Marcos Alvarez Ave., Brgy. Talon Singko, Las Piñas City, Metro Manila HLURB LTS No. 106 Year Built: 2022 Turnover Date: Building 1- Q4 2023","CCTV, Bar, Elevators, Entertainment room, Fire exits, Function Room, Game Room, Gym, Lobby, Fire Alarm, Fire sprinkler system, Function area, 24-hour security, Basketball court, Clubhouse, Garden, Jogging path, Parks, Playground, Swimming pool","https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/1070d156dac27f.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/e95c585ca053d5.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/498f346f1ad99b.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/f3aed10eebfc24.jpg, https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x380x244/cc49a71bfbc51a.jpg",https://www.lamudi.com.ph/new-developments/metrotowne/metrotowne-building-3-unit-3-9l-2-bedroom-for-sale-172059372689/
